,Bus Stop Name,Rajiv Gandhi,Mata Gujri,Vishnupuri,Bhanwarkuan Square,Holkar Subway,Navlakha Square,Indra Pratima,GPO,Shivaji Vatika,AICTSL,Geeta Bhawan,Palasiya,Industry House,LIG,Press Complex,MR-9,Vijay Nagar,Satya Sai,Shalimar Township,Scheme No. 78,Niranjanpur Square,Before Entering,Boarding From Station,Got Off,Demand,Hourly Demand,Mean,SD= Passanger Capacity + 3* Mean,SD=  Passanger Capacity -  3* Mean,Buses Required maximum,Buses Required minmum,Buses Average,
,Distance (in km),0,0.75,1.2,1.7,2,3,3.3,3.7,4.4000000000000004,4.9000000000000004,5.4,6.1,6.6,7.2,7.5,8.1999999999999993,8.9,9.5,10.4,10.9,11.4,,,,,,,,,,,,
1.0,Rajiv Gandhi,0,6.6274848495614656,5.2385060961117755,52.357615554074968,19.355992466520171,30.477498830684173,15.815887116416008,70.53994991576181,24.196520234437749,40.124883812639979,99.771128722978631,80.490504511226064,30.491402787694327,60.896277429359692,15.904353983357314,49.916811782478767,38.632064434512436,8.8890182021445874,12.716173896672752,15.676988944400879,23.431180718204075,0,701.55024428923775,0,702,175.5,35.1,280.8,70.199999999999989,6,1,3,Rajiv Gandhi
2.0,Mata Gujri,15.302195479087818,0,4.0421395576851182,43.153488285296305,8.3856513664267673,24.189537801025747,13.506137459031368,23.790646681152314,14.887868139454836,14.659970406646806,43.07356882008547,37.178907784604775,12.183218736926944,23.408000544853785,5.1974183310960296,29.919856695372598,21.909914066713633,7.8069523779550929,8.7606465652445085,11.469865525634487,10.145382794640454,702,357.66917193984693,6.6274848495614656,1053,263.25,52.650000000000006,421.20000000000005,105.29999999999998,8,2,5,Mata Gujri
3.0,Vishnupuri,7.8969816496033998,5.7805286936095781,0,21.407201967116031,10.338165903618503,17.109556755909178,9.4101664980221589,25.237049780099731,8.3082073215739101,15.832138164417529,44.975127872945009,31.293566961026251,0,20.236529024448693,6.1945097288127604,21.021148421950809,15.506674131659787,4.8103457205688365,4.4003270941799526,4.4979894320394749,8.0361829531297087,1053,268.61488773151825,9.2806456537968938,1313,328.25,65.650000000000006,525.20000000000005,131.29999999999998,10,3,6,Vishnupuri
4.0,Bhanwarkuan Square,23.715668691421513,10.582606849513114,7.1127338311878088,0,21.822111944264414,52.635354465143983,27.04346775864024,119.488892820942,32.277954277781284,72.651258914963307,232.49620039625904,175.91922303245056,40.474534154625879,169.05701151258378,13.040375555023267,91.273982347324718,81.756582196153417,11.65549969345793,17.602273512427971,20.322855328981412,26.487554594007158,1313,1206.0051325050304,116.9183058064873,2402,600.5,120.10000000000001,960.8,240.2,19,5,12,Bhanwarkuan Square
5.0,Holkar Subway,7.752822192931637,4.1243744409679435,2.9630094713983586,30.62583138756623,0,11.578116381110782,5.1115599769093247,18.444515090652857,10.409738020436407,11.498804865593911,26.104908400840817,38.471333020160401,14.490064404832022,29.671821711816197,4.3381698698351094,9.4623287328920949,11.811907399658246,4.5912381897354804,5.8754504134715679,6.2778812897218081,5.2154698840050067,2402,213.35330765167205,59.901921680829851,2555,638.75,127.75,1022,255.5,20,5,13,Holkar Subway
6.0,Navlakha Square,24.898018469761482,20.316373219388119,19.769137479990032,181.53850368004453,47.011109419150429,0,66.435015735588991,145.29597322844319,33.120242565030203,57.979318117956439,299.32315286713435,316.07103449906094,57.559893123209491,222.62903033125559,28.53821107877641,200.95101843583902,133.27442592483888,23.712807987584753,23.473482737975232,42.364921942518777,46.168712001638838,2555,1696.8972405768509,135.99006423387388,4116,1029,205.8,1646.4,411.59999999999991,32,8,20,Navlakha Square
7.0,Indra Pratima,17.710121077011685,11.111273252497575,9.3580285408683679,65.807999773144047,19.988901374788938,52.47664004396642,0,69.364415298924655,21.10228877530561,47.018288385097868,88.945126740065945,77.999715466325441,39.412266644978487,86.842314948960905,12.749541360819094,55.213154000546197,35.861605733760229,15.104270061590594,9.4439317736239587,19.869657754088855,25.078714997402606,4116,604.00529194149033,137.32223454460808,4583,1145.75,229.15,1833.2,458.29999999999995,36,9,22,Indra Pratima
8.0,GPO,17.481430377461269,11.316825883489686,6.1196932743378829,127.11025481503847,20.933241962159165,71.777139961849088,16.262806736567544,0,29.712595813905757,43.211935929412476,151.79577861944517,130.71956235409181,24.482821261283224,139.84350077783384,12.293933535321459,79.369750693952113,66.750009757415157,8.2954095094079872,10.781827909920199,13.360832174928657,14.599558955540124,4583,725.21751729245796,472.16144281597656,4836,1209,241.8,1934.4,483.59999999999991,38,9,24,GPO
9.0,Shivaji Vatika,6.1953507236259888,3.9108350370372289,3.4784848403226665,26.275225789410712,14.343214449215175,12.558281321165413,6.5283705404160397,31.221995316824952,0,10.780598715225906,31.64619578551325,19.874196068904894,14.563391643297166,20.536224182514019,4.467181840710194,10.995319927569117,8.178914156566151,4.2422822896593546,5.8468336221379857,8.5702866353296638,6.8990630440480087,4836,146.60048791147571,174.01541514792575,4808.5850727635498,1202.1462681908874,240.4292536381775,1923.43402910542,480.85850727635489,38,9,24,Shivaji Vatika
10.0,AICTSL,13.810814507348086,5.0958964929868777,3.473932161331859,56.547518333226904,18.991227048543124,20.390546661443175,22.772813310782375,38.588583031607264,17.86233225960979,0,60.823099971867791,43.258421493971483,17.908194397358791,47.245655355331586,7.2523209947970946,27.240224218692283,21.486926866257829,5.0186314843073889,5.6002505991794553,15.997588961977561,10.15460960956292,4808.5850727635498,261.98592395330411,313.7571973119542,4756.8137994049002,1189.2034498512251,237.84068997024502,1902.7255197619602,475.68137994048993,37,9,23,AICTSL
11.0,Geeta Bhawan,21.33790222942897,9.6439636318444837,8.6722934408821235,245.66530821123155,33.689445597883264,74.911949787715429,27.856202225167877,102.29573191789869,35.952916810761984,48.8941175522884,0,230.80007803715321,53.155107625926497,169.43000806076353,22.43271470921071,87.845805880476959,36.439874486265936,11.840829692553937,13.23181943465406,16.91735333815107,17.196680146546729,4756.8137994049002,659.29027141170275,1078.9542881971354,4337.1497826194673,1084.2874456548668,216.85748913097336,1734.8599130477869,433.71497826194673,34,9,21,Geeta Bhawan
12.0,Palasiya,30.277236926507936,12.89588626406476,9.8780677089107911,243.00936348210544,33.008978570250896,119.02505778031974,31.359868324437176,128.09691830510243,25.568603235114558,43.671243079268564,204.91353729600684,0,35.051223768151573,150.14353421393446,12.095862644236195,112.32159013767755,81.563178306307535,8.0316493008802823,12.596498392162999,19.657439809675658,22.425135179412489,4337.1497826194673,453.88611175243881,1182.0765432289759,3608.9593511429298,902.23983778573245,180.44796755714651,1443.5837404571721,360.89593511429291,28,7,18,Palasiya
13.0,Industry House,9.0767193903623902,4.855687717399392,0,44.154807286762448,14.259679297154394,20.86108712863399,10.27596544926763,40.128594116136206,9.9044230962676352,25.821754126693559,53.076618267997169,42.345513613949471,0,40.671028626344373,8.4819781543781048,18.010385625715141,13.409576903952171,5.6510123986246548,4.6480652543966254,9.7888219644605616,8.8342806673929601,3608.9593511429298,109.49514959526461,339.77211854828442,3378.6823821899097,844.67059554747743,168.9341191094955,1351.472952875964,337.86823821899094,26,7,17,Industry House
14.0,LIG,20.71880512650548,11.312276317042384,9.0580756494789139,141.36424470434056,22.342474614684988,77.409921686725468,25.895296399995875,95.07874528041927,30.80995448486664,43.874406987605205,185.89207389675065,171.57193644713618,43.481960908754438,0,15.465506243628347,96.820859280007426,74.985711150038483,4.9544675851872499,10.259601800358251,19.113167141084201,17.17105490273126,3378.6823821899097,238.7703681030352,1180.6109367200004,2436.8418135729444,609.21045339323609,121.84209067864722,974.7367254291778,243.68418135729439,19,5,12,LIG
15.0,Press Complex,12.556959243275733,6.9995142073775618,6.1335502720629309,43.348625327173615,25.266354429032258,34.537805260234478,18.238729331127352,32.46355830732324,18.348120438588733,24.039588460703012,46.138365041143054,51.29664724646036,14.921231786746064,47.85982977999285,0,26.483049516742366,27.971734272174949,10.632810959165832,9.7966260294150977,9.9015307646254804,12.860516686320089,2436.8418135729444,97.646268228443802,168.4520780300021,2366.0360037713858,591.50900094284646,118.3018001885693,946.41440150855442,236.60360037713855,19,5,12,Press Complex
16.0,MR-9,31.994379212430996,19.977577024473792,17.489368346471149,149.7573321730849,39.918582691973576,220.3266664320463,60.25843279385397,146.49619947407169,27.046571389790277,58.074137683160323,364.32670913072951,188.24963060058116,77.133591321821541,268.08550685784377,25.803471268988194,0,124.39305060801021,25.538537998171517,30.332885608912068,36.889464525980848,49.722126538709972,2366.0360037713858,266.8760652797846,916.84528569723705,1716.0667833539333,429.01669583848332,85.803339167696663,686.4267133415733,171.60667833539333,13,3,8,MR-9
